platform,kind,sentiment,text
xhs,contents,0.0,目的地婚礼参加完了，体验感很不好，说下我的感受和经验： 1.如果你选择云南，三亚等不要着急在网上定，尤其不要交定金，后期不退； 2.建议在网上找几家你想去目的地的店家，提前一天过去现场考察（问店家有没有实体店及让策划给你发下店里婚纱风格，我的感受是我想要不太露的抹胸裙店里几乎都是深v风格） 3.跟店家沟通行程，我们流程
xhs,contents,0.0,2W+鉑爵目的地婚禮吐血的服務，特別售後 铂爵[话题] 目的地婚禮[话题] 旅拍婚纱照[话题] 踩坑[话题] 丽江[话题] 價格不透明不說了，然後越貴的服務越垃圾😡一開始跟網上客服溝通好了（到店之後 店客服一律不知我需求，對我原先溝通好的風格也…）後面我各種妥協我也算了！到挑禮服環節（我一直強調說，我不懂你們拍照場景搭
xhs,contents,0.0,体验感0分‼️目的地婚礼真的会踩雷 2万6的套餐 去年到现在 一直都没解决 商家已经彻底摆烂了 1.其实婚礼套餐只有1万6 进店就有二次消费和路线升级 我想着来都来了 别留下遗憾，给了商家继续不要脸的机会 2.服装：烂到极致了，衣服后面全是缝缝补补的痕迹，裙子拖尾全是没洗干净的泥渍。提供的鞋子也是鞋垫子失踪的鞋，磨脚磨
zhihu,contents,1.3988810110276972e-14,21年的时候去过一个景区——山西长治的八泉峡，第一次感觉自己是上了屠宰流水线的猪，一刀一刀的被割。门票不贵，百十块钱，还有免费大巴从停车接送到景区，但是进去景区之后才知道什么叫精准狠，什么叫顶级路线规划。进景区大门后到第一个观光点有很长一段路，而且很无聊，不想走就花钱坐观光车。（消费+1）第一个观光点是做坐船游览峡谷，
zhihu,contents,1.8207657603852567e-14,你以为的旅游：到地方，睡觉，吃，玩，拍照，发朋友圈。实际的旅游：到地方，订好的宾馆突然涨价，吵架，没吵赢。老公是个废物。换宾馆，没房，老公不做预案，老公是个废物。去网红店打卡，发现不好吃，没吃饱，换一家，不仅不是自己喜欢吃的，还不好吃。老公居然没做攻略，老公是个废物。购物差点被宰，还好自己机智，老公居然急着付钱，一点防
douyin,comments,1.780797731498751e-13,还真别说，国庆去庐山，爬五老峰和三叠泉的时候我感觉差点要挂了[捂脸]，因为就只带了一瓶500毫升的水，路过好几个卖水的，因为人太多懒得排队，等真渴的不行了的时候又没卖水的了，回程的时候走三叠泉小火车那段路硬是走了1个多小时，又渴又饿又累浑身无力头晕目眩贼难受，路人看到我都说我脸色卡白，很不对劲，回到补给点后我喝了5瓶水
bili,comments,3.9013237085328e-13,我们刚在大理拍的 抖音上订的套餐6000 满满的套路 刚开始 给你介绍套餐 完了付钱 付完套餐钱 接着说套餐里边没有我们需要的效果 想要好 得改拍摄场景说的天花乱坠 女朋友一说需求 他会抓住这点忽悠 给你一个所谓的自选套餐11999 又补了6000 之后拍摄 拍完选片 这时候 会让你选出精修的55张 有十几张是九宫格 
zhihu,comments,5.181854945135456e-12,今年暑假，我朋友一家从广东飞去敦煌旅游，回来后我问她感受如何，她告诉我糟糕透了：小红书上找的航拍店家，钱付了拍了后只给了几张原图，答应修图也没下文了，视频也没收到，她说我觉得你们甘肃这些人没诚信！我觉得脸上火辣辣的，非常难受！2001年我大学毕业的时候为了出省交了5000元的出省费，那时候我大学学费也才是2200元一年
xhs,contents,2.4504398510316605e-11,云南蜜月回来啦！经验大分享 总的来说体验不错！ 总时间:一周婚假+前后周末=八天 总花费:两人在1️⃣万左右 总路线: 济南-昆明-大理-丽江-香格里拉-昆明-济南 （也可直接从香格里拉回) 当天:晚班飞机，住机场边的欢住酒店，驾车十来分钟有接送（但要等)，那附近酒店都不错，早上可送机场或地铁站 第1️⃣天:昆明-大理
xhs,comments,3.421818384197195e-11,我们也是1号落地，在昆明吃了一碗米线后直接从高铁到大理。大理我们就晚上逛了古城，第二天包了个车环海，因为一直下雨景点也没怎么逛，就直接让司机拉我们到高铁站去丽江了，3号丽江也是下雨，4号阴天，预约的5号上大索道，上去后依旧是下雨冻死个人，体验非常不美丽[捂脸R][捂脸R]
xhs,contents,3.5323077796078906e-11,有网友表示是踩到青苔滑落 （据悉，找到登山杖的时候都摔断了，离登山杖半米的地方，树枝都是断的，断点新鲜，证明是从很高的地方跌落的，正好那里是一块岩壁，上面都是青苔 ） 6月16日，武汉市公安局武汉东湖新技术开发区分局发布警情通报称，相关当事人已无生命体征，初步排除案件。 通报全文如下： 6月14日18时39分，我局接群
xhs,contents,3.74005271197575e-11,两个人云南10天旅行结婚费用及攻略（上） 旅行结婚决定放在云南。 先说结论：天气不好[哭惹R]看什么都不美 总费用大概是花了8000多， 主要是路费多，吃住其实都没花什么， 还在预算范围内。 太长了，我写了好几个小时还没写完，先更新到丽江篇吧。 路线：大理→丽江→香格里拉→昆明。 大理主要是：古城，洱海（海西线，海东线
douyin,comments,6.195310930934284e-11,武汉捂汗[泣不成声]武汉素来有个称号叫捂汗，那还是以前全球气温正常的时候，现在普遍升高了，武汉夏天早上六点多起床，我一看室外温度计38（天气预报最高39）中午能达到60度以上（地面三米高的位置）我上面评论的是小山（武汉很多山树被砍的差不多了）那暴晒加上山里湿度比城市高，所以捂汗变蒸，没毛病撒[泣不成声]
zhihu,comments,1.3910517182580406e-10,山西旅游坑太多了，去平遥路边停车都是个人占地收费的，公共停车位也得交费。平遥一个饭店的牛肉，58元.大概有8.9片那样，4个人吃顿饭380多，太坑了
douyin,comments,1.5349077564508207e-10,[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]
douyin,comments,1.692914697315473e-10,主要是敢带一瓶水～武汉6月带一瓶水[捂脸][捂脸]就是对武汉气温没有敬畏之心[捂脸][捂脸][捂脸]
bili,comments,2.614035654602276e-10,孩子们，我是真的爬泰山走着上去抬着下来的[撇嘴] 半夜出发的，想爬到山顶看日出，爬到半山腰时遇到了降温 在山脚下时穿着短袖外套，到半山腰时感觉温度骤降二十多度，租了一件军大衣都挡不住的冷 硬撑着爬到了山顶，坚持到了日出，实际就是天际线一个小亮点升上来了 下山就坐的缆车然后再坐大巴，这一坐坏事了，爬山太累在车上一路都是睡
bili,comments,8.290714781367114e-10,速度慢导致没操作，没操作导致没看点，没看点导致没收视率，没收视率导致没赞助，没赞助导致没钱，没钱导致车队自费，车队自费导致要节省开支，节省开支导致怕毁车，怕毁车导致速度慢。完美闭环
bili,comments,2.2029320589922463e-09,夏天天热的时候我一天能喝两瓶1.5升装矿泉水可能都不止，更何况我也不需要干什么重活，另外天太热的时候就是不中暑晒太久了人的思维跟活动多少也会有一定影响，俺有次在闷热又没有窗户能透气的机房里呆着，出来之后没多久晕了过去，当时是秋天，室外是比较凉快的，可能是室内外温差太大一热一冷导致的，总而言之大热天出门不管去干嘛最好都要
